dataset,image,mask,modality,iou,choice
BraTS2020,volume_166_slice_75.h5,volume_166_slice_75.h5,modality_0,0.798885,class_2_normal
BraTS2020,volume_166_slice_75.h5,volume_166_slice_75.h5,modality_3,0.773859,class_2_normal
BraTS2020,volume_191_slice_83.h5,volume_191_slice_83.h5,modality_0,0.929366,class_2_normal
BraTS2020,volume_191_slice_83.h5,volume_191_slice_83.h5,modality_3,0.819462,class_2_normal
BraTS2020,volume_28_slice_35.h5,volume_28_slice_35.h5,modality_0,0.005083,class_2_normal
BraTS2020,volume_28_slice_35.h5,volume_28_slice_35.h5,modality_3,0.010989,class_1_normal
BraTS2020,volume_268_slice_52.h5,volume_268_slice_52.h5,modality_0,0.094598,class_2_normal
BraTS2020,volume_268_slice_52.h5,volume_268_slice_52.h5,modality_3,0.212519,class_2_normal
BraTS2020,volume_130_slice_44.h5,volume_130_slice_44.h5,modality_0,0.577159,class_2_normal
BraTS2020,volume_130_slice_44.h5,volume_130_slice_44.h5,modality_3,0.764658,class_2_normal
BraTS2020,volume_98_slice_79.h5,volume_98_slice_79.h5,modality_0,0.933533,class_1_inverted
BraTS2020,volume_98_slice_79.h5,volume_98_slice_79.h5,modality_3,0.844503,class_1_inverted
BraTS2020,volume_160_slice_79.h5,volume_160_slice_79.h5,modality_0,0.802114,class_2_normal
BraTS2020,volume_160_slice_79.h5,volume_160_slice_79.h5,modality_3,0.626457,class_1_inverted
BraTS2020,volume_245_slice_75.h5,volume_245_slice_75.h5,modality_0,0.443761,class_1_inverted
BraTS2020,volume_245_slice_75.h5,volume_245_slice_75.h5,modality_3,0.496926,class_1_inverted
BraTS2020,volume_157_slice_112.h5,volume_157_slice_112.h5,modality_0,0.239909,class_2_normal
BraTS2020,volume_157_slice_112.h5,volume_157_slice_112.h5,modality_3,0.188207,class_0_inverted
BraTS2020,volume_298_slice_66.h5,volume_298_slice_66.h5,modality_0,0.093914,class_2_normal
BraTS2020,volume_298_slice_66.h5,volume_298_slice_66.h5,modality_3,0.749052,class_1_inverted
BraTS2020,volume_227_slice_58.h5,volume_227_slice_58.h5,modality_0,0.560273,class_2_normal
BraTS2020,volume_227_slice_58.h5,volume_227_slice_58.h5,modality_3,0.259431,class_2_normal
BraTS2020,volume_112_slice_73.h5,volume_112_slice_73.h5,modality_0,0.933043,class_2_normal
BraTS2020,volume_112_slice_73.h5,volume_112_slice_73.h5,modality_3,0.846990,class_2_normal
BraTS2020,volume_67_slice_84.h5,volume_67_slice_84.h5,modality_0,0.757168,class_1_inverted
BraTS2020,volume_67_slice_84.h5,volume_67_slice_84.h5,modality_3,0.403347,class_1_inverted
BraTS2020,volume_51_slice_102.h5,volume_51_slice_102.h5,modality_0,0.918888,class_2_normal
BraTS2020,volume_51_slice_102.h5,volume_51_slice_102.h5,modality_3,0.854707,class_2_normal
BraTS2020,volume_135_slice_99.h5,volume_135_slice_99.h5,modality_0,0.917068,class_2_normal
BraTS2020,volume_135_slice_99.h5,volume_135_slice_99.h5,modality_3,0.901868,class_2_normal
BraTS2020,volume_229_slice_112.h5,volume_229_slice_112.h5,modality_0,0.852293,class_1_inverted
BraTS2020,volume_229_slice_112.h5,volume_229_slice_112.h5,modality_3,0.678442,class_2_normal
BraTS2020,volume_231_slice_71.h5,volume_231_slice_71.h5,modality_0,0.956130,class_2_normal
BraTS2020,volume_231_slice_71.h5,volume_231_slice_71.h5,modality_3,0.675499,class_2_normal
BraTS2020,volume_223_slice_115.h5,volume_223_slice_115.h5,modality_0,0.949242,class_2_normal
BraTS2020,volume_223_slice_115.h5,volume_223_slice_115.h5,modality_3,0.733699,class_2_normal
BraTS2020,volume_78_slice_75.h5,volume_78_slice_75.h5,modality_0,0.061759,class_2_normal
BraTS2020,volume_78_slice_75.h5,volume_78_slice_75.h5,modality_3,0.044643,class_1_inverted
BraTS2020,volume_51_slice_92.h5,volume_51_slice_92.h5,modality_0,0.940558,class_2_normal
BraTS2020,volume_51_slice_92.h5,volume_51_slice_92.h5,modality_3,0.465088,class_1_inverted
BraTS2020,volume_354_slice_69.h5,volume_354_slice_69.h5,modality_0,0.309845,class_2_normal
BraTS2020,volume_354_slice_69.h5,volume_354_slice_69.h5,modality_3,0.760443,class_2_normal
BraTS2020,volume_153_slice_99.h5,volume_153_slice_99.h5,modality_0,0.895489,class_1_inverted
BraTS2020,volume_153_slice_99.h5,volume_153_slice_99.h5,modality_3,0.793288,class_2_normal
BraTS2020,volume_349_slice_110.h5,volume_349_slice_110.h5,modality_0,0.884996,class_2_normal
BraTS2020,volume_349_slice_110.h5,volume_349_slice_110.h5,modality_3,0.771273,class_2_normal
BraTS2020,volume_326_slice_78.h5,volume_326_slice_78.h5,modality_0,0.864302,class_1_inverted
BraTS2020,volume_326_slice_78.h5,volume_326_slice_78.h5,modality_3,0.688532,class_1_inverted
BraTS2020,volume_259_slice_77.h5,volume_259_slice_77.h5,modality_0,0.883052,class_2_normal
BraTS2020,volume_259_slice_77.h5,volume_259_slice_77.h5,modality_3,0.814315,class_2_normal
BraTS2020,volume_296_slice_45.h5,volume_296_slice_45.h5,modality_0,0.932682,class_2_normal
BraTS2020,volume_296_slice_45.h5,volume_296_slice_45.h5,modality_3,0.910598,class_2_normal
